date,year,month,quarter,period,flow_code,flow_label,partner_iso,partner_name,hs_code,hs_description,primary_value_usd,fob_value_usd,cif_value_usd,is_reported,mom_growth,yoy_growth,rolling_3m_avg,rolling_12m_avg,rolling_12m_std,is_anomaly
2015-01-01,2015,1,1,201501,X,exports,CHN,China,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",33350125.0,33350125.0,0.0,False,,,33350125.0,,,False
2015-02-01,2015,2,1,201502,X,exports,CHN,China,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",22651049.0,22651049.0,0.0,False,-0.3208106716241693,,28000587.0,,,False
2015-03-01,2015,3,1,201503,X,exports,CHN,China,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",27697880.0,27697880.0,0.0,False,0.22280782669270627,,27899684.666666668,,,False
2015-04-01,2015,4,2,201504,X,exports,CHN,China,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",27743435.0,27743435.0,0.0,False,0.0016447107143218176,,26030788.0,,,False
2015-05-01,2015,5,2,201505,X,exports,CHN,China,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",27864895.0,27864895.0,0.0,False,0.004377972662721774,,27768736.666666668,,,False
2015-06-01,2015,6,2,201506,X,exports,CHN,China,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",25715570.0,25715570.0,0.0,False,-0.07713379146054555,,27107966.666666668,27503825.666666668,3497197.6318539204,False
2015-07-01,2015,7,3,201507,X,exports,CHN,China,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",24393164.0,24393164.0,0.0,False,-0.05142433164032534,,25991209.666666668,27059445.42857143,3402103.658366534,False
2015-08-01,2015,8,3,201508,X,exports,CHN,China,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",27022688.0,27022688.0,0.0,False,0.10779757804276646,,25710474.0,27054850.75,3149762.758268164,False
2015-09-01,2015,9,3,201509,X,exports,CHN,China,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",34720708.719,34720708.719,0.0,False,0.28487250117382823,,28712186.90633333,27906612.746555552,3900046.953972245,False
2015-10-01,2015,10,4,201510,X,exports,CHN,China,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",28314176.39,28314176.39,0.0,False,-0.18451617393092523,,30019191.036333334,27947369.110899996,3679257.582970562,False
