year,month,period,flow_code,flow_label,partner_iso,partner_name,hs_code,hs_description,cif_value_usd,fob_value_usd,primary_value_usd,quantity,is_reported,date,quarter
2015,1,201501,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,717735674.0,717735674.0,0,False,2015-01-01,1
2015,2,201502,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,681026721.0,681026721.0,0,False,2015-02-01,1
2015,3,201503,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,766345289.0,766345289.0,0,False,2015-03-01,1
2015,4,201504,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,739662571.0,739662571.0,0,False,2015-04-01,2
2015,5,201505,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,657256055.0,657256055.0,0,False,2015-05-01,2
2015,6,201506,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,744747279.0,744747279.0,0,False,2015-06-01,2
2015,7,201507,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,632220220.0,632220220.0,0,False,2015-07-01,3
2015,8,201508,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,715164931.0,715164931.0,0,False,2015-08-01,3
2015,9,201509,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,780807022.706,780807022.706,0,False,2015-09-01,3
2015,10,201510,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,783537716.27,783537716.27,0,False,2015-10-01,4
2015,11,201511,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,672564179.44,672564179.44,0,False,2015-11-01,4
2015,12,201512,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,671159190.178,671159190.178,0,False,2015-12-01,4
2016,1,201601,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,644800725.08,644800725.08,0,False,2016-01-01,1
2016,2,201602,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,645059533.853,645059533.853,0,False,2016-02-01,1
2016,3,201603,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,696837141.505,696837141.505,0,False,2016-03-01,1
2016,4,201604,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,671359137.608,671359137.608,0,False,2016-04-01,2
2016,5,201605,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,645770862.8,645770862.8,0,False,2016-05-01,2
2016,6,201606,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,734728082.224,734728082.224,0,False,2016-06-01,2
2016,7,201607,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,527453484.332,527453484.332,0,False,2016-07-01,3
2016,8,201608,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,702942356.379,702942356.379,0,False,2016-08-01,3
2016,9,201609,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,761751586.551,761751586.551,0,False,2016-09-01,3
2016,10,201610,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,758034749.591,758034749.591,0,False,2016-10-01,4
2016,11,201611,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,716755073.994,716755073.994,0,False,2016-11-01,4
2016,12,201612,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,655490766.529,655490766.529,0,False,2016-12-01,4
2017,1,201701,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,640701047.15,640701047.15,0,False,2017-01-01,1
2017,2,201702,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,646859776.08,646859776.08,0,False,2017-02-01,1
2017,3,201703,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,802450667.15,802450667.15,0,False,2017-03-01,1
2017,4,201704,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,654456765.68,654456765.68,0,False,2017-04-01,2
2017,5,201705,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,753765399.13,753765399.13,0,False,2017-05-01,2
2017,6,201706,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,609644071.5,609644071.5,0,False,2017-06-01,2
2017,7,201707,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,707582841.67,707582841.67,0,False,2017-07-01,3
2017,8,201708,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,808383607.56,808383607.56,0,False,2017-08-01,3
2017,9,201709,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,756586777.56,756586777.56,0,False,2017-09-01,3
2017,10,201710,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,748102943.57,748102943.57,0,False,2017-10-01,4
2017,11,201711,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,743156510.89,743156510.89,0,False,2017-11-01,4
2017,12,201712,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,633197983.61,633197983.61,0,False,2017-12-01,4
2018,1,201801,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,718977792.76,718977792.76,0,False,2018-01-01,1
2018,2,201802,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,662812913.99,662812913.99,0,False,2018-02-01,1
2018,3,201803,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,713492661.72,713492661.72,0,False,2018-03-01,1
2018,4,201804,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,679202083.93,679202083.93,0,False,2018-04-01,2
2018,5,201805,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,790756246.87,790756246.87,0,False,2018-05-01,2
2018,6,201806,X,exports,W00,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.0,583293416.81,583293416.81,0,False,2018-06-01,2
