country_code,country_name,year,lpi_overall,lpi_customs,lpi_infrastructure,lpi_international_shipments,lpi_logistics_competence,lpi_tracking_tracing,lpi_timeliness
CHN,China,2015,3.661104,3.318883,3.752359,3.704961,3.620071,3.676702,3.896284
CHN,China,2016,3.661104,3.318883,3.752359,3.704961,3.620071,3.676702,3.896284
CHN,China,2017,3.661104,3.318883,3.752359,3.704961,3.620071,3.676702,3.896284
CHN,China,2018,3.61,3.29,3.75,3.54,3.59,3.65,3.84
CHN,China,2019,3.61,3.29,3.75,3.54,3.59,3.65,3.84
CHN,China,2020,3.61,3.29,3.75,3.54,3.59,3.65,3.84
CHN,China,2021,3.61,3.29,3.75,3.54,3.59,3.65,3.84
CHN,China,2022,3.7,3.3,4.0,3.6,3.8,3.8,3.7
CHN,China,2023,3.7,3.3,4.0,3.6,3.8,3.8,3.7
CHN,China,2024,3.7,3.3,4.0,3.6,3.8,3.8,3.7
DEU,Germany,2015,4.225967,4.123067,4.439356,3.857241,4.27905,4.26539,4.453368
DEU,Germany,2016,4.225967,4.123067,4.439356,3.857241,4.27905,4.26539,4.453368
DEU,Germany,2017,4.225967,4.123067,4.439356,3.857241,4.27905,4.26539,4.453368
DEU,Germany,2018,4.2,4.09,4.37,3.86,4.31,4.24,4.39
DEU,Germany,2019,4.2,4.09,4.37,3.86,4.31,4.24,4.39
DEU,Germany,2020,4.2,4.09,4.37,3.86,4.31,4.24,4.39
DEU,Germany,2021,4.2,4.09,4.37,3.86,4.31,4.24,4.39
DEU,Germany,2022,4.1,3.9,4.3,3.7,4.2,4.2,4.1
DEU,Germany,2023,4.1,3.9,4.3,3.7,4.2,4.2,4.1
DEU,Germany,2024,4.1,3.9,4.3,3.7,4.2,4.2,4.1
IDN,Indonesia,2015,2.984537,2.688429,2.645161,2.901908,3.000057,3.192365,3.459917
IDN,Indonesia,2016,2.984537,2.688429,2.645161,2.901908,3.000057,3.192365,3.459917
IDN,Indonesia,2017,2.984537,2.688429,2.645161,2.901908,3.000057,3.192365,3.459917
IDN,Indonesia,2018,3.15,2.67,2.89,3.23,3.1,3.3,3.67
IDN,Indonesia,2019,3.15,2.67,2.89,3.23,3.1,3.3,3.67
IDN,Indonesia,2020,3.15,2.67,2.89,3.23,3.1,3.3,3.67
IDN,Indonesia,2021,3.15,2.67,2.89,3.23,3.1,3.3,3.67
IDN,Indonesia,2022,3.0,2.8,2.9,3.0,2.9,3.0,3.3
IDN,Indonesia,2023,3.0,2.8,2.9,3.0,2.9,3.0,3.3
IDN,Indonesia,2024,3.0,2.8,2.9,3.0,2.9,3.0,3.3
JPN,Japan,2015,3.970464,3.848448,4.096887,3.694508,3.990233,4.029946,4.206616
JPN,Japan,2016,3.970464,3.848448,4.096887,3.694508,3.990233,4.029946,4.206616
JPN,Japan,2017,3.970464,3.848448,4.096887,3.694508,3.990233,4.029946,4.206616
JPN,Japan,2018,4.03,3.99,4.25,3.59,4.09,4.05,4.25
JPN,Japan,2019,4.03,3.99,4.25,3.59,4.09,4.05,4.25
JPN,Japan,2020,4.03,3.99,4.25,3.59,4.09,4.05,4.25
JPN,Japan,2021,4.03,3.99,4.25,3.59,4.09,4.05,4.25
JPN,Japan,2022,3.9,3.9,4.2,3.3,4.1,4.0,4.0
JPN,Japan,2023,3.9,3.9,4.2,3.3,4.1,4.0,4.0
JPN,Japan,2024,3.9,3.9,4.2,3.3,4.1,4.0,4.0
KOR,South Korea,2015,3.717126,3.453085,3.790535,3.582513,3.690245,3.783652,4.025192
KOR,South Korea,2016,3.717126,3.453085,3.790535,3.582513,3.690245,3.783652,4.025192
KOR,South Korea,2017,3.717126,3.453085,3.790535,3.582513,3.690245,3.783652,4.025192
KOR,South Korea,2018,3.61,3.4,3.73,3.33,3.59,3.75,3.92
KOR,South Korea,2019,3.61,3.4,3.73,3.33,3.59,3.75,3.92
KOR,South Korea,2020,3.61,3.4,3.73,3.33,3.59,3.75,3.92
KOR,South Korea,2021,3.61,3.4,3.73,3.33,3.59,3.75,3.92
KOR,South Korea,2022,3.8,3.9,4.1,3.4,3.8,3.8,3.8
KOR,South Korea,2023,3.8,3.9,4.1,3.4,3.8,3.8,3.8
KOR,South Korea,2024,3.8,3.9,4.1,3.4,3.8,3.8,3.8
MYS,Malaysia,2015,3.426307,3.167154,3.447615,3.482079,3.342215,3.461243,3.652954
MYS,Malaysia,2016,3.426307,3.167154,3.447615,3.482079,3.342215,3.461243,3.652954
MYS,Malaysia,2017,3.426307,3.167154,3.447615,3.482079,3.342215,3.461243,3.652954
MYS,Malaysia,2018,3.22,2.9,3.15,3.35,3.3,3.15,3.46
MYS,Malaysia,2019,3.22,2.9,3.15,3.35,3.3,3.15,3.46
MYS,Malaysia,2020,3.22,2.9,3.15,3.35,3.3,3.15,3.46
MYS,Malaysia,2021,3.22,2.9,3.15,3.35,3.3,3.15,3.46
MYS,Malaysia,2022,3.6,3.3,3.6,3.7,3.7,3.7,3.7
MYS,Malaysia,2023,3.6,3.3,3.6,3.7,3.7,3.7,3.7
MYS,Malaysia,2024,3.6,3.3,3.6,3.7,3.7,3.7,3.7
SGP,Singapore,2015,4.143632,4.178941,4.20396,3.956593,4.09353,4.047371,4.395202
SGP,Singapore,2016,4.143632,4.178941,4.20396,3.956593,4.09353,4.047371,4.395202
SGP,Singapore,2017,4.143632,4.178941,4.20396,3.956593,4.09353,4.047371,4.395202
SGP,Singapore,2018,4.0,3.89,4.06,3.58,4.1,4.08,4.32
SGP,Singapore,2019,4.0,3.89,4.06,3.58,4.1,4.08,4.32
SGP,Singapore,2020,4.0,3.89,4.06,3.58,4.1,4.08,4.32
SGP,Singapore,2021,4.0,3.89,4.06,3.58,4.1,4.08,4.32
SGP,Singapore,2022,4.3,4.2,4.6,4.0,4.4,4.4,4.3
SGP,Singapore,2023,4.3,4.2,4.6,4.0,4.4,4.4,4.3
SGP,Singapore,2024,4.3,4.2,4.6,4.0,4.4,4.4,4.3
USA,United States,2015,3.992172,3.752486,4.152011,3.650306,4.014226,4.200025,4.250527
USA,United States,2016,3.992172,3.752486,4.152011,3.650306,4.014226,4.200025,4.250527
