year,partner_iso,partner_name,flow_label,annual_trade_value_usd,country_name,lpi_overall,lpi_customs,lpi_infrastructure,lpi_international_shipments,lpi_logistics_competence,lpi_tracking_tracing,lpi_timeliness
2015,CHN,China,exports,336579559.819,China,3.661104,3.318883,3.752359,3.704961,3.620071,3.676702,3.896284
2015,CHN,China,imports,6318392444.0,China,3.661104,3.318883,3.752359,3.704961,3.620071,3.676702,3.896284
2015,DEU,Germany,exports,177435973.226,Germany,4.225967,4.123067,4.439356,3.857241,4.27905,4.26539,4.453368
2015,DEU,Germany,imports,379845897.0,Germany,4.225967,4.123067,4.439356,3.857241,4.27905,4.26539,4.453368
2015,JPN,Japan,exports,1145107999.851,Japan,3.970464,3.848448,4.096887,3.694508,3.990233,4.029946,4.206616
2015,JPN,Japan,imports,1393912389.0,Japan,3.970464,3.848448,4.096887,3.694508,3.990233,4.029946,4.206616
2015,KOR,South Korea,exports,305321622.674,South Korea,3.717126,3.453085,3.790535,3.582513,3.690245,3.783652,4.025192
2015,KOR,South Korea,imports,776951203.0,South Korea,3.717126,3.453085,3.790535,3.582513,3.690245,3.783652,4.025192
2015,MYS,Malaysia,exports,316439767.849,Malaysia,3.426307,3.167154,3.447615,3.482079,3.342215,3.461243,3.652954
2015,MYS,Malaysia,imports,592148266.0,Malaysia,3.426307,3.167154,3.447615,3.482079,3.342215,3.461243,3.652954
2015,PHL,Philippines,exports,118482924.187,Philippines,2.856259,2.608477,2.550097,3.013986,2.701612,2.855944,3.348485
2015,PHL,Philippines,imports,130601507.0,Philippines,2.856259,2.608477,2.550097,3.013986,2.701612,2.855944,3.348485
2015,SGP,Singapore,exports,1662409014.334,Singapore,4.143632,4.178941,4.20396,3.956593,4.09353,4.047371,4.395202
2015,SGP,Singapore,imports,1755668134.0,Singapore,4.143632,4.178941,4.20396,3.956593,4.09353,4.047371,4.395202
2015,THA,Thailand,exports,370115412.343,Thailand,3.2551,3.105066,3.12367,3.36694,3.135446,3.20362,3.559929
2015,THA,Thailand,imports,506815255.0,Thailand,3.2551,3.105066,3.12367,3.36694,3.135446,3.20362,3.559929
2015,USA,United States,exports,1231192842.344,United States,3.992172,3.752486,4.152011,3.650306,4.014226,4.200025,4.250527
2015,USA,United States,imports,565730261.0,United States,3.992172,3.752486,4.152011,3.650306,4.014226,4.200025,4.250527
2015,VNM,Vietnam,exports,180992318.703,Viet Nam,2.976629,2.75055,2.695191,3.123474,2.882517,2.842922,3.498359
2015,VNM,Vietnam,imports,1081481459.0,Viet Nam,2.976629,2.75055,2.695191,3.123474,2.882517,2.842922,3.498359
2016,CHN,China,exports,316040683.57,China,3.661104,3.318883,3.752359,3.704961,3.620071,3.676702,3.896284
2016,CHN,China,imports,6402697977.0,China,3.661104,3.318883,3.752359,3.704961,3.620071,3.676702,3.896284
2016,DEU,Germany,exports,171564904.313,Germany,4.225967,4.123067,4.439356,3.857241,4.27905,4.26539,4.453368
2016,DEU,Germany,imports,383456708.0,Germany,4.225967,4.123067,4.439356,3.857241,4.27905,4.26539,4.453368
2016,JPN,Japan,exports,1131099134.685,Japan,3.970464,3.848448,4.096887,3.694508,3.990233,4.029946,4.206616
2016,JPN,Japan,imports,1528323698.0,Japan,3.970464,3.848448,4.096887,3.694508,3.990233,4.029946,4.206616
2016,KOR,South Korea,exports,270873608.64,South Korea,3.717126,3.453085,3.790535,3.582513,3.690245,3.783652,4.025192
2016,KOR,South Korea,imports,714732344.0,South Korea,3.717126,3.453085,3.790535,3.582513,3.690245,3.783652,4.025192
2016,MYS,Malaysia,exports,357536484.298,Malaysia,3.426307,3.167154,3.447615,3.482079,3.342215,3.461243,3.652954
2016,MYS,Malaysia,imports,585348537.0,Malaysia,3.426307,3.167154,3.447615,3.482079,3.342215,3.461243,3.652954
2016,PHL,Philippines,exports,125585581.14199999,Philippines,2.856259,2.608477,2.550097,3.013986,2.701612,2.855944,3.348485
2016,PHL,Philippines,imports,145317595.0,Philippines,2.856259,2.608477,2.550097,3.013986,2.701612,2.855944,3.348485
2016,SGP,Singapore,exports,1569991955.224,Singapore,4.143632,4.178941,4.20396,3.956593,4.09353,4.047371,4.395202
2016,SGP,Singapore,imports,1631935643.0,Singapore,4.143632,4.178941,4.20396,3.956593,4.09353,4.047371,4.395202
2016,THA,Thailand,exports,328796253.824,Thailand,3.2551,3.105066,3.12367,3.36694,3.135446,3.20362,3.559929
2016,THA,Thailand,imports,525332796.0,Thailand,3.2551,3.105066,3.12367,3.36694,3.135446,3.20362,3.559929
2016,USA,United States,exports,1230581672.569,United States,3.992172,3.752486,4.152011,3.650306,4.014226,4.200025,4.250527
2016,USA,United States,imports,319078252.0,United States,3.992172,3.752486,4.152011,3.650306,4.014226,4.200025,4.250527
2016,VNM,Vietnam,exports,128224978.941,Viet Nam,2.976629,2.75055,2.695191,3.123474,2.882517,2.842922,3.498359
2016,VNM,Vietnam,imports,1223906495.0,Viet Nam,2.976629,2.75055,2.695191,3.123474,2.882517,2.842922,3.498359
2017,CHN,China,exports,361747887.88,China,3.661104,3.318883,3.752359,3.704961,3.620071,3.676702,3.896284
2017,CHN,China,imports,7869387114.0,China,3.661104,3.318883,3.752359,3.704961,3.620071,3.676702,3.896284
2017,DEU,Germany,exports,178598941.4,Germany,4.225967,4.123067,4.439356,3.857241,4.27905,4.26539,4.453368
2017,DEU,Germany,imports,381446268.0,Germany,4.225967,4.123067,4.439356,3.857241,4.27905,4.26539,4.453368
2017,JPN,Japan,exports,1324132696.5,Japan,3.970464,3.848448,4.096887,3.694508,3.990233,4.029946,4.206616
2017,JPN,Japan,imports,1732811440.0,Japan,3.970464,3.848448,4.096887,3.694508,3.990233,4.029946,4.206616
2017,KOR,South Korea,exports,279153406.23,South Korea,3.717126,3.453085,3.790535,3.582513,3.690245,3.783652,4.025192
2017,KOR,South Korea,imports,854850095.0,South Korea,3.717126,3.453085,3.790535,3.582513,3.690245,3.783652,4.025192
2017,MYS,Malaysia,exports,374399291.25,Malaysia,3.426307,3.167154,3.447615,3.482079,3.342215,3.461243,3.652954
2017,MYS,Malaysia,imports,708906994.0,Malaysia,3.426307,3.167154,3.447615,3.482079,3.342215,3.461243,3.652954
2017,PHL,Philippines,exports,157412964.16,Philippines,2.856259,2.608477,2.550097,3.013986,2.701612,2.855944,3.348485
2017,PHL,Philippines,imports,200479980.0,Philippines,2.856259,2.608477,2.550097,3.013986,2.701612,2.855944,3.348485
2017,SGP,Singapore,exports,1567298942.08,Singapore,4.143632,4.178941,4.20396,3.956593,4.09353,4.047371,4.395202
2017,SGP,Singapore,imports,1686561596.0,Singapore,4.143632,4.178941,4.20396,3.956593,4.09353,4.047371,4.395202
2017,THA,Thailand,exports,434674068.37,Thailand,3.2551,3.105066,3.12367,3.36694,3.135446,3.20362,3.559929
2017,THA,Thailand,imports,624780339.0,Thailand,3.2551,3.105066,3.12367,3.36694,3.135446,3.20362,3.559929
2017,USA,United States,exports,1021826715.0,United States,3.992172,3.752486,4.152011,3.650306,4.014226,4.200025,4.250527
2017,USA,United States,imports,349487280.0,United States,3.992172,3.752486,4.152011,3.650306,4.014226,4.200025,4.250527
2017,VNM,Vietnam,exports,167929677.23,Viet Nam,2.976629,2.75055,2.695191,3.123474,2.882517,2.842922,3.498359
2017,VNM,Vietnam,imports,1197268344.0,Viet Nam,2.976629,2.75055,2.695191,3.123474,2.882517,2.842922,3.498359
2018,CHN,China,exports,294696463.17,China,3.61,3.29,3.75,3.54,3.59,3.65,3.84
2018,CHN,China,imports,10061356532.0,China,3.61,3.29,3.75,3.54,3.59,3.65,3.84
2018,DEU,Germany,exports,183433499.49,Germany,4.2,4.09,4.37,3.86,4.31,4.24,4.39
2018,DEU,Germany,imports,604904317.0,Germany,4.2,4.09,4.37,3.86,4.31,4.24,4.39
2018,JPN,Japan,exports,1532956440.39,Japan,4.03,3.99,4.25,3.59,4.09,4.05,4.25
2018,JPN,Japan,imports,1706157706.0,Japan,4.03,3.99,4.25,3.59,4.09,4.05,4.25
2018,KOR,South Korea,exports,294522625.66,South Korea,3.61,3.4,3.73,3.33,3.59,3.75,3.92
2018,KOR,South Korea,imports,1077028071.0,South Korea,3.61,3.4,3.73,3.33,3.59,3.75,3.92
2018,MYS,Malaysia,exports,370594742.14,Malaysia,3.22,2.9,3.15,3.35,3.3,3.15,3.46
2018,MYS,Malaysia,imports,760734726.0,Malaysia,3.22,2.9,3.15,3.35,3.3,3.15,3.46
2018,PHL,Philippines,exports,172830272.26,Philippines,2.9,2.53,2.73,3.29,2.78,3.06,2.98
2018,PHL,Philippines,imports,273957344.0,Philippines,2.9,2.53,2.73,3.29,2.78,3.06,2.98
2018,SGP,Singapore,exports,1757897200.81,Singapore,4.0,3.89,4.06,3.58,4.1,4.08,4.32
2018,SGP,Singapore,imports,1705309051.0,Singapore,4.0,3.89,4.06,3.58,4.1,4.08,4.32
2018,THA,Thailand,exports,448270342.26,Thailand,3.41,3.14,3.14,3.46,3.41,3.47,3.81
2018,THA,Thailand,imports,751853136.0,Thailand,3.41,3.14,3.14,3.46,3.41,3.47,3.81
2018,USA,United States,exports,830173439.97,United States,3.89,3.78,4.05,3.51,3.87,4.09,4.08
2018,USA,United States,imports,390012956.0,United States,3.89,3.78,4.05,3.51,3.87,4.09,4.08
2018,VNM,Vietnam,exports,351469815.9,Viet Nam,3.27,2.95,3.01,3.16,3.4,3.45,3.67
2018,VNM,Vietnam,imports,881536005.0,Viet Nam,3.27,2.95,3.01,3.16,3.4,3.45,3.67
2019,CHN,China,exports,281783155.96,China,3.61,3.29,3.75,3.54,3.59,3.65,3.84
2019,CHN,China,imports,9223012455.0,China,3.61,3.29,3.75,3.54,3.59,3.65,3.84
2019,DEU,Germany,exports,131954258.618,Germany,4.2,4.09,4.37,3.86,4.31,4.24,4.39
2019,DEU,Germany,imports,329704356.0,Germany,4.2,4.09,4.37,3.86,4.31,4.24,4.39
2019,JPN,Japan,exports,1461476176.86,Japan,4.03,3.99,4.25,3.59,4.09,4.05,4.25
2019,JPN,Japan,imports,1478371684.0,Japan,4.03,3.99,4.25,3.59,4.09,4.05,4.25
2019,KOR,South Korea,exports,315898119.168,South Korea,3.61,3.4,3.73,3.33,3.59,3.75,3.92
2019,KOR,South Korea,imports,1004445653.0,South Korea,3.61,3.4,3.73,3.33,3.59,3.75,3.92
2019,MYS,Malaysia,exports,397158213.17899996,Malaysia,3.22,2.9,3.15,3.35,3.3,3.15,3.46
2019,MYS,Malaysia,imports,558719214.0,Malaysia,3.22,2.9,3.15,3.35,3.3,3.15,3.46
2019,PHL,Philippines,exports,251529982.376,Philippines,2.9,2.53,2.73,3.29,2.78,3.06,2.98
