year,partner_iso,partner_name,total_exports_usd,total_imports_usd,trade_balance_usd,total_trade_usd
2015,CHN,China,336579559.819,6318392444.0,-5981812884.181,6654972003.819
2016,CHN,China,316040683.57,6402697977.0,-6086657293.43,6718738660.57
2017,CHN,China,361747887.88,7869387114.0,-7507639226.12,8231135001.88
2018,CHN,China,294696463.17,10061356532.0,-9766660068.83,10356052995.17
2019,CHN,China,281783155.96,9223012455.0,-8941229299.04,9504795610.96
2020,CHN,China,355766323.974,9381176035.0,-9025409711.026001,9736942358.973999
2021,CHN,China,383636391.56700003,11861352694.0,-11477716302.433,12244989085.567
2022,CHN,China,413293646.024,14500232915.0,-14086939268.976,14913526561.024
2023,CHN,China,376956561.673,13597715366.0,-13220758804.327,13974671927.673
2024,CHN,China,386857074.234,14607728850.0,-14220871775.766,14994585924.234
2015,DEU,Germany,177435973.226,379845897.0,-202409923.774,557281870.2260001
2016,DEU,Germany,171564904.313,383456708.0,-211891803.687,555021612.313
2017,DEU,Germany,178598941.4,381446268.0,-202847326.6,560045209.4
2018,DEU,Germany,183433499.49,604904317.0,-421470817.51,788337816.49
2019,DEU,Germany,131954258.618,329704356.0,-197750097.382,461658614.61800003
2020,DEU,Germany,141481095.777,229555634.0,-88074538.22299999,371036729.777
2021,DEU,Germany,180544825.656,254781728.0,-74236902.34400001,435326553.656
2022,DEU,Germany,214234588.537,368197422.0,-153962833.463,582432010.537
2023,DEU,Germany,234047034.018,438100290.0,-204053255.982,672147324.018
2024,DEU,Germany,201783270.874,379831641.0,-178048370.126,581614911.8740001
2015,JPN,Japan,1145107999.851,1393912389.0,-248804389.14899993,2539020388.851
2016,JPN,Japan,1131099134.685,1528323698.0,-397224563.31500006,2659422832.685
2017,JPN,Japan,1324132696.5,1732811440.0,-408678743.5,3056944136.5
2018,JPN,Japan,1532956440.39,1706157706.0,-173201265.6099999,3239114146.3900003
2019,JPN,Japan,1461476176.86,1478371684.0,-16895507.140000105,2939847860.8599997
2020,JPN,Japan,1323681461.51,1024689764.0,298991697.51,2348371225.51
2021,JPN,Japan,1532324023.788,1268424983.0,263899040.7880001,2800749006.788
2022,JPN,Japan,1545335982.552,1415443308.0,129892674.55200005,2960779290.552
2023,JPN,Japan,1659399600.131,1486493623.0,172905977.13100004,3145893223.131
2024,JPN,Japan,1710626112.051,1398946348.0,311679764.0510001,3109572460.051
2015,KOR,South Korea,305321622.674,776951203.0,-471629580.326,1082272825.674
2016,KOR,South Korea,270873608.64,714732344.0,-443858735.36,985605952.64
2017,KOR,South Korea,279153406.23,854850095.0,-575696688.77,1134003501.23
2018,KOR,South Korea,294522625.66,1077028071.0,-782505445.3399999,1371550696.66
2019,KOR,South Korea,315898119.168,1004445653.0,-688547533.832,1320343772.168
2020,KOR,South Korea,370844545.343,900779243.0,-529934697.657,1271623788.343
2021,KOR,South Korea,777273483.635,1176615320.0,-399341836.365,1953888803.635
2022,KOR,South Korea,639875897.803,1723396690.0,-1083520792.197,2363272587.803
2023,KOR,South Korea,630996252.6060001,1740232378.0,-1109236125.394,2371228630.606
2024,KOR,South Korea,1270807887.793,1882666632.0,-611858744.207,3153474519.793
2015,MYS,Malaysia,316439767.849,592148266.0,-275708498.151,908588033.849
2016,MYS,Malaysia,357536484.298,585348537.0,-227812052.70200002,942885021.298
2017,MYS,Malaysia,374399291.25,708906994.0,-334507702.75,1083306285.25
2018,MYS,Malaysia,370594742.14,760734726.0,-390139983.86,1131329468.1399999
2019,MYS,Malaysia,397158213.17899996,558719214.0,-161561000.82100004,955877427.1789999
2020,MYS,Malaysia,358767528.633,665919017.0,-307151488.367,1024686545.633
2021,MYS,Malaysia,297809187.134,575858279.0,-278049091.866,873667466.1340001
2022,MYS,Malaysia,410253833.543,698015620.0,-287761786.457,1108269453.543
2023,MYS,Malaysia,426543354.587,655783234.0,-229239879.413,1082326588.587
2024,MYS,Malaysia,383821862.381,600371965.0,-216550102.61900002,984193827.381
2015,SGP,Singapore,1662409014.334,1755668134.0,-93259119.66599989,3418077148.334
2016,SGP,Singapore,1569991955.224,1631935643.0,-61943687.77600002,3201927598.224
2017,SGP,Singapore,1567298942.08,1686561596.0,-119262653.92000008,3253860538.08
2018,SGP,Singapore,1757897200.81,1705309051.0,52588149.80999994,3463206251.81
2019,SGP,Singapore,1579864383.326,1992952386.0,-413088002.674,3572816769.326
2020,SGP,Singapore,1530217218.541,1776506496.0,-246289277.4590001,3306723714.541
2021,SGP,Singapore,2143360596.639,1720728666.0,422631930.63899994,3864089262.639
2022,SGP,Singapore,3229647591.107,1791042355.0,1438605236.1069999,5020689946.107
2023,SGP,Singapore,2526452935.93,1684842499.0,841610436.9299998,4211295434.93
2024,SGP,Singapore,1863365068.907,1912338314.0,-48973245.092999935,3775703382.907
2015,USA,United States,1231192842.344,565730261.0,665462581.3440001,1796923103.344
2016,USA,United States,1230581672.569,319078252.0,911503420.569,1549659924.569
2017,USA,United States,1021826715.0,349487280.0,672339435.0,1371313995.0
2018,USA,United States,830173439.97,390012956.0,440160483.97,1220186395.97
2019,USA,United States,1110489834.045,394733264.0,715756570.0450001,1505223098.045
2020,USA,United States,1807869276.473,370345123.0,1437524153.473,2178214399.473
2021,USA,United States,2052758643.915,332694448.0,1720064195.915,2385453091.915
2022,USA,United States,3175675143.9969997,347780827.0,2827894316.9969997,3523455970.9969997
2023,USA,United States,3465540227.452,408227156.0,3057313071.452,3873767383.452
2024,USA,United States,4240624910.056,499004249.0,3741620661.056,4739629159.056
2015,W00,World,8562226848.594,15518282271.0,-6956055422.406,24080509119.594
2016,W00,World,8160983500.446,15430895621.0,-7269912120.554,23591879121.446
2017,W00,World,8504888391.55,17931761080.0,-9426872688.45,26436649471.55
